Ligand_name,Status,Is_active,Best_affinity_kcal_mol,Label,Formula,MW_Da,LogP,HBD,HBA,RotB,TPSA_A2,Runtime_s
CHEMBL6027140,SUCCESS,1,-7.478,active,C28H31ClF4N6O+2,578.217,3.008,2.0,5.0,5.0,72.19,101.92
CHEMBL5925566,SUCCESS,1,-7.017,active,C30H36F2N6O+2,534.291,1.772,2.0,5.0,5.0,72.19,97.19
CHEMBL4872788,SUCCESS,1,-6.419,active,C31H36F2N6O+2,546.291,1.943,2.0,5.0,5.0,72.19,103.04
CHEMBL5933665,SUCCESS,1,-6.148,active,C28H32FN7OS+2,533.236,1.945,2.0,7.0,5.0,85.08,86.02
CHEMBL6018222,SUCCESS,1,-6.074,active,C28H28ClF3N6O+2,556.195,2.902,2.0,5.0,5.0,84.36,99.46
CHEMBL5751574,SUCCESS,1,-6.366,active,C32H36ClFN6O+2,574.261,3.532,2.0,5.0,5.0,72.19,103.85
CHEMBL5431156,SUCCESS,1,-4.616,active,C23H18ClF2N6S+,483.096,3.811,2.0,6.0,3.0,95.44,36.41
CHEMBL6059887,SUCCESS,1,-5.12,active,C27H32ClFN6O+2,510.23,1.989,2.0,5.0,5.0,72.19,75.81
CHEMBL5864164,SUCCESS,1,-6.06,active,C33H39ClFN7O4+2,651.273,1.959,3.0,8.0,11.0,119.75,253.61
CHEMBL5820584,SUCCESS,1,-7.823,active,C31H34ClFN6O2+2,576.24,2.378,2.0,6.0,5.0,81.42,105.97
CHEMBL5893982,SUCCESS,1,-6.704,active,C31H32ClF3N6O+2,596.227,3.387,2.0,5.0,5.0,72.19,107.92
CHEMBL5996378,SUCCESS,1,-6.316,active,C31H34F2N6O+2,544.275,2.628,2.0,5.0,5.0,72.19,99.4
CHEMBL5764818,SUCCESS,1,-6.778,active,C28H33F3N6O+2,526.266,2.273,2.0,5.0,6.0,72.19,91.49
CHEMBL5971110,SUCCESS,1,-5.837,active,C30H37FN6O+2,516.3,2.213,2.0,5.0,6.0,72.19,89.78
CHEMBL5742538,SUCCESS,1,-6.046,active,C31H32ClF3N6O+2,596.227,3.038,2.0,5.0,5.0,72.19,115.16
CHEMBL5781677,SUCCESS,1,-5.948,active,C29H31F7N6O+2,612.244,3.373,2.0,5.0,5.0,72.19,136.0
CHEMBL5880284,SUCCESS,1,-6.408,active,C27H31ClF2N6O+2,528.22,1.937,2.0,5.0,5.0,72.19,81.06
CHEMBL5889230,SUCCESS,1,-5.955,active,C33H40F2N6O+2,574.322,2.723,2.0,5.0,6.0,72.19,134.2
CHEMBL6019893,SUCCESS,1,-6.459,active,C30H36F2N6O+2,534.291,2.161,2.0,5.0,6.0,72.19,94.15
CHEMBL5796080,SUCCESS,1,-4.807,active,C34H40F2N6O+2,586.322,3.391,2.0,5.0,8.0,72.19,144.1
CHEMBL5751096,SUCCESS,1,-7.968,active,C28H33F3N6O2+2,542.261,1.937,2.0,6.0,7.0,81.42,92.83
CHEMBL5782738,SUCCESS,1,-5.509,active,C30H36F2N6O+2,534.291,2.352,2.0,5.0,6.0,72.19,82.3
CHEMBL6039258,SUCCESS,1,-5.532,active,C31H38F2N6O+2,548.306,2.551,2.0,5.0,6.0,72.19,113.7
CHEMBL6037946,SUCCESS,1,-6.299,active,C32H35Cl2FN6O+2,608.222,3.749,2.0,5.0,6.0,72.19,137.74
CHEMBL5978325,SUCCESS,1,-5.279,active,C29H33F5N6O+2,576.263,2.388,2.0,5.0,6.0,72.19,116.92
CHEMBL5962849,SUCCESS,1,-6.265,active,C32H33F5N6O+2,612.263,3.455,2.0,5.0,5.0,72.19,152.18
CHEMBL5956536,SUCCESS,1,-5.375,active,C28H32F4N6O2+2,560.251,2.076,2.0,6.0,7.0,81.42,90.15
CHEMBL5887792,SUCCESS,1,-6.744,active,C33H36FN9O+2,593.302,2.274,3.0,7.0,6.0,113.76,159.3
CHEMBL4750445,SUCCESS,1,-5.504,active,C31H29N6O2+,517.235,3.706,4.0,3.0,9.0,104.48,193.65
CHEMBL6018779,SUCCESS,1,-5.997,active,C30H36F2N6O+2,534.291,2.161,2.0,5.0,6.0,72.19,108.06
CHEMBL6054826,SUCCESS,1,-6.33,active,C32H33ClF4N6O+2,628.233,3.93,2.0,5.0,5.0,72.19,147.06
CHEMBL6014620,SUCCESS,1,-6.433,active,C30H32ClF2N7O+2,579.231,2.485,2.0,6.0,5.0,85.08,108.23
CHEMBL5911765,SUCCESS,1,-6.46,active,C26H28ClFN8O+2,522.205,0.594,4.0,5.0,6.0,131.39,90.43
CHEMBL5846262,SUCCESS,1,-7.012,active,C27H31Cl2F2N7O+2,577.192,2.364,3.0,6.0,6.0,98.21,85.61
CHEMBL5975050,SUCCESS,1,-5.44,active,C33H36FN7O2+2,581.29,2.334,3.0,7.0,7.0,116.21,115.51
CHEMBL5875732,SUCCESS,1,-6.425,active,C27H33F2N7O+2,509.27,1.057,3.0,6.0,6.0,98.21,70.51
CHEMBL6020950,SUCCESS,1,-5.723,active,C27H30ClFN8O+2,536.22,0.984,4.0,5.0,7.0,131.39,108.04
CHEMBL5995963,SUCCESS,1,-6.552,active,C27H31ClF3N7O+2,561.222,1.658,3.0,6.0,6.0,98.21,79.38
CHEMBL5745958,SUCCESS,1,-6.035,active,C32H33ClFN7O+2,585.241,2.892,2.0,6.0,5.0,95.98,121.97
CHEMBL5802120,SUCCESS,1,-6.31,active,C26H26FN6O2+,473.21,1.785,3.0,7.0,5.0,102.22,31.94
CHEMBL6043769,SUCCESS,1,-7.453,active,C27H28FN6O+,471.23,3.204,2.0,6.0,4.0,81.99,27.65
CHEMBL5916759,SUCCESS,1,-6.513,active,C28H33FN8OS+2,548.247,1.527,3.0,8.0,6.0,111.1,76.82
CHEMBL6001577,SUCCESS,1,-5.862,active,C27H28FN6O2+,487.225,2.175,3.0,7.0,6.0,102.22,49.58
CHEMBL5820989,SUCCESS,1,-6.225,active,C28H32F2N8OS+2,566.238,1.666,3.0,8.0,6.0,111.1,82.5
CHEMBL5747038,SUCCESS,1,-6.499,active,C29H30FN6O2+,513.241,2.831,2.0,7.0,4.0,91.22,35.63
CHEMBL6041558,SUCCESS,1,-7.185,active,C25H25FN5O3+,462.194,1.975,3.0,7.0,7.0,108.21,58.82
CHEMBL5428238,SUCCESS,1,-6.632,active,C31H31ClF3N7OS+2,641.194,3.349,3.0,7.0,6.0,109.11,131.9
CHEMBL5426739,SUCCESS,1,-6.776,active,C31H33ClF3N7O+2,611.238,2.811,3.0,6.0,6.0,98.21,113.78
CHEMBL5971069,SUCCESS,1,-7.596,active,C26H27FN5O3+,476.209,2.365,3.0,7.0,8.0,108.21,66.29
CHEMBL5748017,SUCCESS,1,-5.134,active,C35H36ClFN6O+2,610.261,4.178,2.0,5.0,7.0,72.19,199.05
CHEMBL5980144,SUCCESS,1,-8.748,active,C28H29FN5O4S+,550.192,2.56,2.0,8.0,5.0,122.12,85.0
CHEMBL5780126,SUCCESS,1,-6.154,active,C33H38FN7O2+2,583.306,1.516,3.0,6.0,7.0,115.28,124.47
CHEMBL5418176,SUCCESS,1,-6.977,active,C31H34ClF2N7O+2,593.247,2.672,3.0,6.0,6.0,98.21,103.7
CHEMBL5891278,SUCCESS,1,-6.063,active,C34H39FN7O+3,580.318,1.082,3.0,5.0,6.0,99.83,131.88
CHEMBL6049931,SUCCESS,1,-6.427,active,C28H29FN5O2S+,518.202,3.879,2.0,7.0,5.0,87.98,51.87
CHEMBL5393883,SUCCESS,1,-5.53,active,C31H32ClF2N7OS+2,623.203,3.21,3.0,7.0,6.0,109.11,146.46
CHEMBL5397425,SUCCESS,1,-6.935,active,C29H31ClF3N7OS+2,617.194,2.873,3.0,7.0,6.0,98.21,110.64
