molecule_chembl_id,smiles,matched_to_active,tanimoto_similarity
CHEMBL278029,CCN(CC)C(=O)CCCC(=O)Nc1cccc(Sc2ccc(Br)cc2NC(=O)CCN2CCN(C)CC2)c1,CHEMBL4858364,0.066
CHEMBL279372,CCCC[C@@H]1[C@H](OC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2C[C@H]3CCCC[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,CHEMBL4858364,0.097
CHEMBL17621,CCCC[C@H]1[C@@H](OC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2C[C@H]3CCCC[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,CHEMBL4858364,0.097
CHEMBL18757,CO[C@@H]1[C@@H](C)O[C@@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)C(O)[C@@H]1OC(=O)CCCCCl,CHEMBL4858364,0.087
CHEMBL417823,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)SC1CCCC1)C(C)C)Cc1ccc(F)cc1,CHEMBL4858364,0.115
CHEMBL20174,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@H](CC(C)C)NC(=O)SCc1ccccc1)Cc1ccccc1,CHEMBL4858364,0.049
CHEMBL19973,CC(C)NC(=O)C(F)(F)C(=O)C(Cc1ccc(OCc2ccccc2)cc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,CHEMBL4858364,0.085
CHEMBL20619,CCCCCCCCCCCC(=O)CCCCCCOCC(COP(=O)([O-])OC[C@H](C(=O)O)[N+](C)(C)C)OC,CHEMBL4858364,0.04
CHEMBL279091,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2F)n(-c2cc3ccccc3cc2S(C)(=O)=O)n1,CHEMBL4858364,0.109
CHEMBL20604,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(C)(=O)=O)cc2F)n(-c2cc3ccccc3cc2S(C)(=O)=O)n1,CHEMBL4858364,0.094
CHEMBL430335,COc1ccc(S(=O)(=O)N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H](Cc2cccs2)C(=O)NO)cc1,CHEMBL4858364,0.083
CHEMBL22175,C/C=C/C=C(\C)C(=O)O[C@H]1[C@H](O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC,CHEMBL4858364,0.079
CHEMBL22317,O=C1N(CCCC2CCCC2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,CHEMBL4858364,0.098
CHEMBL18962,C=C([C@@H](O)C[C@H](O)[C@@]1(C)CC[C@H](C(C)(C)O)O1)[C@H]1CC[C@H]2O[C@@H]([C@]3(C)CC[C@@H](Br)C(C)(C)O3)CC[C@]2(C)O1,CHEMBL4858364,0.053
CHEMBL23161,C=C([C@H](O)C[C@H](O)[C@@]1(C)CC[C@H](C(C)(C)O)O1)[C@H]1CC[C@H]2O[C@@H]([C@]3(C)CC[C@@H](Br)C(C)(C)O3)CC[C@]2(C)O1,CHEMBL4858364,0.053
CHEMBL23444,CCn1cc(C(C(=O)NS(=O)(=O)c2ccc(C(C)C)cc2)c2ccc3c(c2)OCO3)c2ccc(C(=O)N(C)C)cc21,CHEMBL4858364,0.079
CHEMBL24058,Cc1cccc(Cc2nc(C(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)OCc3ccccc3)C(C)C)C(C)C)no2)c1,CHEMBL4858364,0.13
CHEMBL285231,Cc1cccc(Cc2nnc(C(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)OCc3ccccc3)C(C)C)C(C)C)o2)c1,CHEMBL4858364,0.123
CHEMBL286552,Cc1cc(=O)n(CC(=O)N(C)C)nc1-c1ccc2nc(C3CC3)n(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c2c1,CHEMBL4858364,0.113
CHEMBL432847,CN(C)C(=O)CN1N=C(c2ccc3nc(C4CC4)n(Cc4ccc(-c5ccccc5-c5nn[nH]n5)cc4)c3c2)C(C)(C)CC1=O,CHEMBL4858364,0.111
CHEMBL24478,CCCc1nc2ccc(C3=NN(CC(=O)N(C)C)C(=O)CC3)cc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CHEMBL4858364,0.09
CHEMBL287302,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(C(=O)NCC(C)C(F)(F)F)cc12,CHEMBL4858364,0.079
CHEMBL432271,CC1CC(=O)N(CC(=O)N(C)C)N=C1c1ccc2nc(C3CC3)n(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c2c1,CHEMBL4858364,0.104
CHEMBL284126,CCCCc1nc2ccc(C3=NN(CC(=O)N(C)C)C(=O)CC3C)cc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CHEMBL4858364,0.094
