Ligand_name,Label,Is_active,Status,Converged,Formula,MW_Da,LogP,HBD,HBA,RotB,TPSA_A2,Best_affinity_kcal_mol,best_rmsd_lb,best_rmsd_ub,RF_Score_pKd,Runtime_s
CHEMBL10482,decoy,0,SUCCESS,True,C24H20Cl3N3O2,487.062,5.257,2,4,9,71.17,-3.865,-5.672,-0.139,7.095,206.4
CHEMBL10436,decoy,0,SUCCESS,True,C26H25N6O3P,500.173,4.035,4,8,11,136.91,-7.867,-12.466,-1.712,7.553,328.65
CHEMBL10455,decoy,0,SUCCESS,True,C25H27FNO6S-,488.155,2.401,2,6,11,115.76,-5.869,-9.472,-3.218,7.119,264.94
CHEMBL103045,decoy,0,SUCCESS,True,C30H36ClN7O2S+2,593.233,2.969,3,7,14,93.87,-4.917,-8.367,-1.805,7.295,586.34
CHEMBL10325,decoy,0,SUCCESS,True,C28H31Cl3N3O5+,594.132,4.733,3,5,16,90.33,-4.493,-7.908,-2.487,7.681,532.18
CHEMBL10461,decoy,0,SUCCESS,True,C29H32Cl2O6S,578.13,5.909,0,7,9,86.74,-1.001,-1.411,1.793,7.2,252.82
CHEMBL104281,decoy,0,SUCCESS,True,C26H22F6N4O4S,600.127,6.164,2,5,9,120.22,-5.806,-9.201,-2.537,7.815,371.19
CHEMBL10552,decoy,0,SUCCESS,True,C21H11F4N3O4S,477.041,2.921,1,6,2,96.44,-6.158,-7.238,-0.394,7.1,97.74
CHEMBL10505,decoy,0,SUCCESS,True,C24H20Cl2FN3O2,471.092,4.742,2,4,9,71.17,-3.699,-5.429,-1.333,6.556,183.02
CHEMBL103949,decoy,0,SUCCESS,True,C31H35F2N2O4+,537.256,3.711,2,4,13,83.06,-5.66,-9.3,1.457,6.943,454.56
CHEMBL104626,decoy,0,SUCCESS,True,C22H17BrClF3N4O4S,603.979,5.683,2,5,8,120.22,-6.285,-9.225,-1.725,7.632,266.89
CHEMBL10566,decoy,0,SUCCESS,True,C27H30Cl2O6,520.142,4.869,1,6,8,93.81,-2.169,-2.867,1.913,7.633,116.57
CHEMBL103614,decoy,0,SUCCESS,True,C30H38N4O4,518.289,4.986,2,5,17,102.32,-6.654,-12.1,-2.105,7.67,560.98
CHEMBL103276,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL105702,decoy,0,SUCCESS,True,C21H22IN5O2S,535.054,3.771,1,6,6,62.75,-4.361,-5.891,-0.82,6.871,137.51
CHEMBL10510,decoy,0,SUCCESS,True,C31H29N3O6,539.206,3.737,1,7,9,109.27,-5.646,-8.121,-0.422,6.817,273.27
CHEMBL103790,decoy,0,SUCCESS,True,C34H51N6O+3,559.411,1.908,4,3,12,74.56,-5.67,-9.151,-1.67,7.194,578.18
CHEMBL104516,decoy,0,SUCCESS,True,C19H20F6N5O4PS,559.088,5.193,1,9,13,114.38,-6.425,-11.308,-1.191,7.4,410.47
CHEMBL104303,decoy,0,SUCCESS,True,C28H28F3N3O6,559.193,3.743,3,6,13,125.04,-5.66,-9.795,-2.038,7.447,483.48
CHEMBL105514,decoy,0,SUCCESS,True,C28H28FN3O6,521.196,4.369,0,6,8,95.25,-6.564,-8.866,0.164,7.646,226.9
CHEMBL10573,decoy,0,SUCCESS,True,C22H19Cl2N3O4,459.075,4.345,2,5,9,89.55,-6.167,-9.051,-1.554,7.613,180.06
CHEMBL105622,decoy,0,SUCCESS,True,C28H29N5O5,515.217,4.802,1,8,10,98.28,0.159,0.225,-0.12,7.683,203.19
CHEMBL105784,decoy,0,SUCCESS,True,C26H33BrClN4O2+,547.147,4.025,2,4,8,72.36,-3.566,-4.712,-1.304,7.42,165.78
CHEMBL102621,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL104557,decoy,0,SUCCESS,True,C28H27F4N3O5,561.189,4.177,2,5,12,104.81,9.623,16.373,-2.073,7.083,449.66
CHEMBL104991,decoy,0,SUCCESS,True,C30H37N6O3+,529.292,3.964,3,5,8,94.74,-3.878,-5.692,-1.003,7.63,368.87
CHEMBL104475,decoy,0,SUCCESS,True,C19H20F6N5O5PS,575.083,4.893,1,10,14,123.61,-5.813,-10.571,-2.309,7.49,481.94
