assay_type,canonical_smiles,data_validity_comment,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
B,C=CC(=O)Nc1cnc(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(O)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)n1C,,CHEMBL5778696,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,C=CC(=O)Nc1cnc(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(O)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)n1C,,CHEMBL5778696,=,=,IC50,nM,550.0,CHEMBL2189121,IC50,nM,550.0
B,C=CC(=O)Nc1cnc(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(O)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)n1C,,CHEMBL5778696,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,C=CC(=O)Nc1cnc(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(O)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)n1C,,CHEMBL5778696,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC(F)F)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5999812,=,=,IC50,nM,5500.0,CHEMBL2189121,IC50,nM,5500.0
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC(F)F)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5999812,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC(F)F)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5999812,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,C=CC(=O)Nc1ccc(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(O)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)cn1,,CHEMBL5744081,=,=,IC50,nM,550.0,CHEMBL2189121,IC50,nM,550.0
B,C=CC(=O)Nc1ccc(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(O)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)cn1,,CHEMBL5744081,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,C=CC(=O)Nc1ccc(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(O)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)cn1,,CHEMBL5744081,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC3(N(C)C)COC3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5906328,=,=,IC50,nM,550.0,CHEMBL2189121,IC50,nM,550.0
B,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC3(N(C)C)COC3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5906328,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC3(N(C)C)COC3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5906328,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,C=CC(=O)N1CCN(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(O)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)CC1,,CHEMBL5906199,=,=,IC50,nM,55.0,CHEMBL2189121,IC50,nM,55.0
B,C=CC(=O)N1CCN(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(O)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)CC1,,CHEMBL5906199,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,C=CC(=O)N1CCN(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(O)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)CC1,,CHEMBL5906199,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC(C)(C)N(C)C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5753374,=,=,IC50,nM,5500.0,CHEMBL2189121,IC50,nM,5500.0
B,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC(C)(C)N(C)C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5753374,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC(C)(C)N(C)C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5753374,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(sn3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5923014,=,=,IC50,nM,5500.0,CHEMBL2189121,IC50,nM,5500.0
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(sn3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5923014,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(sn3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5923014,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(cc(C(F)F)c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL6049552,=,=,IC50,nM,5500.0,CHEMBL2189121,IC50,nM,5500.0
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(cc(C(F)F)c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL6049552,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(cc(C(F)F)c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL6049552,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(F)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5999653,=,=,IC50,nM,5500.0,CHEMBL2189121,IC50,nM,5500.0
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(F)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5999653,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(F)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5999653,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,COC(C)c1ncccc1-c1c2c3cc(ccc3n1CC(F)(F)F)-c1csc(n1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)N(C)C)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5863621,=,=,IC50,nM,5500.0,CHEMBL2189121,IC50,nM,5500.0
B,COC(C)c1ncccc1-c1c2c3cc(ccc3n1CC(F)(F)F)-c1csc(n1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)N(C)C)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5863621,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,COC(C)c1ncccc1-c1c2c3cc(ccc3n1CC(F)(F)F)-c1csc(n1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)N(C)C)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5863621,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,C=CC(=O)N1CC(OC[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3C(C)OC)n4CC(F)(F)F)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5822164,=,=,IC50,nM,5500.0,CHEMBL2189121,IC50,nM,5500.0
